1.3686394259	0	5.3489022	5.3489022
1.4186394259	0	4.5763254	4.5763254
1.4686394259	0	3.8532997	3.8532997
1.5186394259	0	3.1738056	3.1738056
1.5686394259	0	2.5326985	2.5326985
1.6186394259	0	1.9255631	1.9255631
1.6686394259	0	1.3485956	1.3485956
1.7186394259	0	0.7985069	0.7985069
1.7686394259	0	0.2724439	0.2724439
1.8186394259	0	-0.2320756	-0.2320756
1.8686394259	0	-0.7172174	-0.7172174
1.9186394259	0	-1.1848752	-1.1848752
1.9686394259	0	-1.6367089	-1.6367089
2.0186394259	0	-2.0741754	-2.0741754
2.0686394259	0	-2.4985561	-2.4985561
2.1186394259	0	-2.910979	-2.910979
2.1686394259	0	-3.3124382	-3.3124382
2.2186394259	0	-3.7038104	-3.7038104
2.2686394259	0	-4.0858691	-4.0858691
2.3186394259	0	-4.459297	-4.459297
2.3686394259	0	-4.8246967	-4.8246967
2.4186394259	0	-5.1825997	-5.1825997
2.4686394259	0	-5.5334747	-5.5334747
2.5186394259	0	-5.877735	-5.877735
2.5686394259	0	-6.2157444	-6.2157444
2.6186394259	0	-6.5478228	-6.5478228
2.6686394259	0	-6.8742513	-6.8742513
2.7186394259	0	-7.1952766	-7.1952766
2.7686394259	0	-7.5111148	-7.5111148
2.8186394259	0	-7.8219548	-7.8219548
2.8686394259	0	-8.1279616	-8.1279616
2.9186394259	0	-8.4292791	-8.4292791
2.9686394259	0	-8.7260325	-8.7260325
3.0186394259	0	-9.0183305	-9.0183305
3.0686394259	0	-9.3062676	-9.3062676
3.1186394259	0	-9.5899256	-9.5899256
3.1686394259	0	-9.8693755	-9.8693755
3.2186394259	0	-10.1446789	-10.1446789
3.2686394259	0	-10.415889	-10.415889
3.3186394259	0	-10.6830526	-10.6830526
3.3686394259	0	-10.94621	-10.9462101
3.4186394259	0	-11.205397	-11.2053974
3.4686394259	0	-11.460646	-11.4606461
3.5186394259	0	-11.711985	-11.7119846
3.5686394259	0	-11.959439	-11.9594388
3.6186394259	0	-12.203032	-12.2030323
3.6686394259	0	-12.442787	-12.4427873
3.7186394259	0	-12.678725	-12.6787251
3.7686394259	0	-12.910866	-12.910866
3.8186394259	0	-13.139231	-13.139231
1.3686394259	0.025	5.264	5.2681
1.4186394259	0.025	4.43006	4.43402
1.4686394259	0.025	3.71111	3.71619
1.5186394259	0.025	3.04025	3.0465
1.5686394259	0.025	2.40796	2.41536
1.6186394259	0.025	1.80892	1.81746
1.6686394259	0.025	1.23914	1.24878
1.7186394259	0.025	0.69533	0.70605
1.7686394259	0.025	0.17471	0.186492
1.8186394259	0.025	-0.32512	-0.312297
1.8686394259	0.025	-0.806234	-0.79239
1.9186394259	0.025	-1.27045	-1.2556
1.9686394259	0.025	-1.719356	-1.703514
2.0186394259	0.025	-2.154346	-2.137526
2.0686394259	0.025	-2.576647	-2.55886
2.1186394259	0.025	-2.987341	-2.968596
2.1686394259	0.025	-3.38738	-3.367687
2.2186394259	0.025	-3.777605	-3.756972
2.2686394259	0.025	-4.15876	-4.137194
2.3186394259	0.025	-4.531499	-4.509007
2.3686394259	0.025	-4.896403	-4.872991
2.4186394259	0.025	-5.253982	-5.229656
2.4686394259	0.025	-5.604687	-5.579453
2.5186394259	0.025	-5.948916	-5.922778
2.5686394259	0.025	-6.287018	-6.259982
2.6186394259	0.025	-6.619301	-6.591371
2.6686394259	0.025	-6.946036	-6.917217
2.7186394259	0.025	-7.26746	-7.237757
2.7686394259	0.025	-7.583779	-7.553196
2.8186394259	0.025	-7.895175	-7.863718
2.8686394259	0.025	-8.201807	-8.16948
2.9186394259	0.025	-8.50381	-8.470619
2.9686394259	0.025	-8.80131	-8.767256
3.0186394259	0.025	-9.0944	-9.059493
3.0686394259	0.025	-9.38317	-9.347421
3.1186394259	0.025	-9.66771	-9.631117
3.1686394259	0.025	-9.94808	-9.910649
3.2186394259	0.025	-10.22434	-10.186075
3.2686394259	0.025	-10.49653	-10.457444
3.3186394259	0.025	-10.7647	-10.7248
3.3686394259	0.025	-11.02889	-10.988181
3.4186394259	0.025	-11.289134	-11.24762
3.4686394259	0.025	-11.545455	-11.503147
3.5186394259	0.025	-11.79788	-11.754787
3.5686394259	0.025	-12.04644	-12.002565
3.6186394259	0.025	-12.291149	-12.246502
3.6686394259	0.025	-12.532028	-12.486618
3.7186394259	0.025	-12.769098	-12.722934
3.7686394259	0.025	-13.002377	-12.955467
3.8186394259	0.025	-13.231884	-13.184237
1.3686394259	0.05	5.2521	5.2816
1.4186394259	0.05	4.3305	4.3505
1.4686394259	0.05	3.59641	3.61976
1.5186394259	0.05	2.92142	2.94897
1.5686394259	0.05	2.28811	2.32
1.6186394259	0.05	1.68893	1.72517
1.6686394259	0.05	1.11912	1.15966
1.7186394259	0.05	0.57508	0.61986
1.7686394259	0.05	0.05391	0.102854
1.8186394259	0.05	-0.44683	-0.393776
1.8686394259	0.05	-0.9292	-0.872107
1.9186394259	0.05	-1.395018	-1.333929
1.9686394259	0.05	-1.845831	-1.780799
2.0186394259	0.05	-2.28301	-2.214081
2.0686394259	0.05	-2.707755	-2.634967
2.1186394259	0.05	-3.12112	-3.044511
2.1686394259	0.05	-3.524035	-3.443636
2.2186394259	0.05	-3.91732	-3.833161
2.2686394259	0.05	-4.301699	-4.213806
2.3186394259	0.05	-4.677809	-4.586207
2.3686394259	0.05	-5.046214	-4.950925
2.4186394259	0.05	-5.407412	-5.308458
2.4686394259	0.05	-5.761842	-5.659241
2.5186394259	0.05	-6.109888	-6.00366
2.5686394259	0.05	-6.451892	-6.342055
