f    ASD
5.447873881359373716e-04 6.888156276872145416e-19
5.553596088989727533e-04 6.588721620445471387e-19
5.661369956667598301e-04 6.303314260748177234e-19
5.771235299196735957e-04 6.031224042123459758e-19
5.883232704032600839e-04 5.771779206586176667e-19
5.997403546276520872e-04 5.524344260490279745e-19
6.113790003960870283e-04 5.288317856221475213e-19
6.232435073630853513e-04 5.063130995311424595e-19
6.353382586228689373e-04 4.848245133547683909e-19
6.476677223286038225e-04 4.643150498293683044e-19
6.602364533430628768e-04 4.447364506266701708e-19
6.730490949213319704e-04 4.260430196274421916e-19
6.861103804261534447e-04 4.081914847177467403e-19
6.994251350765790919e-04 3.911408597329052814e-19
7.129982777305356786e-04 3.748523178874932451e-19
7.268348227020045987e-04 3.592890716493095353e-19
7.409398816134460126e-04 3.444162607374193334e-19
7.553186652841878141e-04 3.302008425599833965e-19
7.699764856554506577e-04 3.166114945334814532e-19
7.849187577527350253e-04 3.036185169936610602e-19
8.001510016862880756e-04 2.911937449903552953e-19
8.156788446903940389e-04 2.793104624172962296e-19
8.315080232022388582e-04 2.679433242535117504e-19
8.476443849811125721e-04 2.570682797449163165e-19
8.640938912687517494e-04 2.466625028142242688e-19
8.808626189915822174e-04 2.367043244568253338e-19
8.979567630057270610e-04 2.271731704659330867e-19
9.153826383855520610e-04 2.180495015714135912e-19
9.331466827566527959e-04 2.093147579143551367e-19
9.512554586740871272e-04 2.009513057855035760e-19
9.697156560467840719e-04 1.929423882029075147e-19
9.885340946089863409e-04 1.852720778549731563e-19
1.007717726439659933e-03 1.779252326935907340e-19
1.027273638530793766e-03 1.708874543921535722e-19
1.047209055405541166e-03 1.641450487101418428e-19
1.067531341787169132e-03 1.576849883960107759e-19
1.088248005319801884e-03 1.514948781045929036e-19
1.109366699341961596e-03 1.455629213085450435e-19
1.130895225713936291e-03 1.398778890564833466e-19
1.152841537700014006e-03 1.344290903928453908e-19
1.175213742906646179e-03 1.292063446166758301e-19
1.198020106277640062e-03 1.241999549376111688e-19
1.221269053147464815e-03 1.194006836217233509e-19
1.244969172353816832e-03 1.147997286107494229e-19
1.269129219410585971e-03 1.103887012867388278e-19
1.293758119742398176e-03 1.061596055682076787e-19
1.318864971981925389e-03 1.021048181172645040e-19
1.344459051331186802e-03 9.821706958982322599e-20
1.370549812988078320e-03 9.448942698197839035e-20
1.397146895639397000e-03 9.091527683218051101e-20
1.424260125021653512e-03 8.748830940108825293e-20
1.451899517550984259e-03 8.420250365132435715e-20
1.480075284023509539e-03 8.105211302156125741e-20
1.508797833387492352e-03 7.803165196877685516e-20
1.538077776588715317e-03 7.513588318147845559e-20
1.567925930490468057e-03 7.235980546490810866e-20
1.598353321869611966e-03 6.969864223909265271e-20
1.629371191490193178e-03 6.714783060881970811e-20
1.660990998256106892e-03 6.470301097426449227e-20
1.693224423444351749e-03 6.236001716077849586e-20
1.726083375020431810e-03 6.011486701340749800e-20
1.759579992037507094e-03 5.796375342460373164e-20
1.793726649120911797e-03 5.590303580813032444e-20
1.828535961039702085e-03 5.392923193249329799e-20
1.864020787366918929e-03 5.203901013235604847e-20
1.900194237230290115e-03 5.022918186442586764e-20
1.937069674155115660e-03 4.849669456869417097e-20
1.974660721001155958e-03 4.683862484195064211e-20
2.012981264995303537e-03 4.525217188706552032e-20
2.052045462861931679e-03 4.373465122447852903e-20
2.091867746052799692e-03 4.228348866031990741e-20
2.132462826078452070e-03 4.089621448439428039e-20
2.173845699943078962e-03 3.957045789801818273e-20
2.216031655684844344e-03 3.830394166133927400e-20
2.259036278023734100e-03 3.709447694723032992e-20
2.302875454119004787e-03 3.593995840132445915e-20
2.347565379438362049e-03 3.483835940650208373e-20
2.393122563741038357e-03 3.378772754730126214e-20
2.439563837176978844e-03 3.278618027499100836e-20
2.486906356504389910e-03 3.183190077942170020e-20
2.535167611427936989e-03 3.092313406672427873e-20
2.584365431059963258e-03 3.005818325133370882e-20
2.634517990507075514e-03 2.923540606674439604e-20
2.685643817584556624e-03 2.845321160187263027e-20
2.737761799661083458e-03 2.771005726961247774e-20
2.790891190636267394e-03 2.700444601395087957e-20
2.845051618053607775e-03 2.633492376092465035e-20
2.900263090351476013e-03 2.570007711840232310e-20
2.956546004254816552e-03 2.509853132519184444e-20
3.013921152310289082e-03 2.452894845161071936e-20
3.072409730567642744e-03 2.399002584783351928e-20
3.132033346410151645e-03 2.348049483476005702e-20
3.192814026537015622e-03 2.299911962839262796e-20
3.254774225100651001e-03 2.254469648664673353e-20
3.317936832001927485e-03 2.211605306321079922e-20
3.382325181346350525e-03 2.171204795011339566e-20
3.447963060064362407e-03 2.133157038903678508e-20
3.514874716698927499e-03 2.097354012857657534e-20
3.583084870363649043e-03 2.063690740270395510e-20
3.652618719874728675e-03 2.032065300572916756e-20
3.723501953060144847e-03 2.002378843758778841e-20
3.795760756249481026e-03 1.974535609411988692e-20
3.869421823947921668e-03 1.948442947870467476e-20
3.944512368697975641e-03 1.924011341119370390e-20
4.021060131132584738e-03 1.901154421464267549e-20
4.099093390223322239e-03 1.879788986066047900e-20
4.178640973727456263e-03 1.859835005839829594e-20
4.259732268837780611e-03 1.841215627431667378e-20
4.342397233039088471e-03 1.823857167332204705e-20
4.426666405175338700e-03 1.807689097469270901e-20
4.512570916731599088e-03 1.792644021920218775e-20
4.600142503334916921e-03 1.778657644611765329e-20
4.689413516478390352e-03 1.765668728161728936e-20
4.780416935472743545e-03 1.753619044198683896e-20
4.873186379629851697e-03 1.742453315655558951e-20
4.967756120682688056e-03 1.732119151701503687e-20
5.064161095446302954e-03 1.722566976048185201e-20
5.162436918724496934e-03 1.713749949475714181e-20
5.262619896466968865e-03 1.705623887424361941e-20
5.364747039181796268e-03 1.698147173552232722e-20
5.468856075608170136e-03 1.691280670125515793e-20
5.574985466654523367e-03 1.684987626105430970e-20
5.683174419607086095e-03 1.679233583735589699e-20
5.793462902614208293e-03 1.673986284396937031e-20
5.905891659451752672e-03 1.669215574431658431e-20
6.020502224575035276e-03 1.664893311572720234e-20
6.137336938462857085e-03 1.660993272546465752e-20
6.256438963259315644e-03 1.657491062352229315e-20
6.377852298719153407e-03 1.654364025647432303e-20
6.501621798462547779e-03 1.651591160609574344e-20
6.627793186545345022e-03 1.649153035577946886e-20
6.756413074350858111e-03 1.647031708724872492e-20
6.887528977809474415e-03 1.645210650951679095e-20
7.021189334952396277e-03 1.643674672157326674e-20
7.157443523806100369e-03 1.642409850985327794e-20
7.296341880633991535e-03 1.641403468114903165e-20
7.437935718532087681e-03 1.640643943134120138e-20
7.582277346385576586e-03 1.640120774999357706e-20
7.729420088193234700e-03 1.639824486066889775e-20
7.879418302766868012e-03 1.639746569659558885e-20
8.032327403813039127e-03 1.639879441115938426e-20
8.188203880404499105e-03 1.640216392261429702e-20
8.347105317848905678e-03 1.640751549224608428e-20
8.509090418962498778e-03 1.641479833521595386e-20
8.674219025756638515e-03 1.642396926324249575e-20
8.842552141545192285e-03 1.643499235826888647e-20
9.014151953480899898e-03 1.644783867626767096e-20
9.189081855529168327e-03 1.646248598034029026e-20
9.367406471887615785e-03 1.647891850231388431e-20
9.549191680860141113e-03 1.649712673207647223e-20
9.734504639194280565e-03 1.651710723394777459e-20
9.923413806890872546e-03 1.653886248944856470e-20
1.011598897249516710e-02 1.656240076591081483e-20
1.031230127887875284e-02 1.658773601044840371e-20
1.051242324952180243e-02 1.661488776890396659e-20
1.071642881530535628e-02 1.664388112948154806e-20
1.092439334182353922e-02 1.667474669088270793e-20
1.113639365722580987e-02 1.670752055487677110e-20
1.135250808059951391e-02 1.674224434334778111e-20
1.157281645090324496e-02 1.677896523999694112e-20
1.179740015646163140e-02 1.681773605700758960e-20
1.202634216503262535e-02 1.685861532712467829e-20
1.225972705445816172e-02 1.690166742175464109e-20
1.249764104390968349e-02 1.694696269585273065e-20
1.274017202574001702e-02 1.699457766054427874e-20
1.298740959795336228e-02 1.704459518461230926e-20
1.323944509730540231e-02 1.709710472618791866e-20
1.349637163304576518e-02 1.715220259620731500e-20
1.375828412131528330e-02 1.720999225543308837e-20
1.402527932021078831e-02 1.727058464710683736e-20
1.429745586553035804e-02 1.733409856758754084e-20
1.457491430721226042e-02 1.740066107764851351e-20
1.485775714648103138e-02 1.747040795745573165e-20
1.514608887371436674e-02 1.754348420864086960e-20
1.544001600704498524e-02 1.762004460730973042e-20
1.573964713171147056e-02 1.770025431230934121e-20
1.604509294017283927e-02 1.778428953360735444e-20
1.635646627300155198e-02 1.787233826623708900e-20
1.667388216057011027e-02 1.796460109592677323e-20
1.699745786554661409e-02 1.806129208328215293e-20
1.732731292621501537e-02 1.816263973423389099e-20
1.766356920063604299e-02 1.826888806540808959e-20
1.800635091166509494e-02 1.838029777414783122e-20
1.835578469284381009e-02 1.849714752412186090e-20
1.871199963518215686e-02 1.861973535882101713e-20
1.907512733484843792e-02 1.874838025679134959e-20
1.944530194178467272e-02 1.888342384420654102e-20
1.982266020926560374e-02 1.902523228237609997e-20
2.020734154441925987e-02 1.917419835004949573e-20
2.059948805972801680e-02 1.933074374295585341e-20
2.099924462552910792e-02 1.949532161595404001e-20
2.140675892353391396e-02 1.966841939651614501e-20
2.182218150138591495e-02 1.985056190208439514e-20
2.224566582827735423e-02 2.004231479819942326e-20
2.267736835164521972e-02 2.024428843927020411e-20
2.311744855496750128e-02 2.045714213953200137e-20
2.356606901668101273e-02 2.068158892821447428e-20
2.402339547024260821e-02 2.091840085032425091e-20
2.448959686535596633e-02 2.116841488285096129e-20
2.496484543038642381e-02 2.143253954575680714e-20
2.544931673598731237e-02 2.171176229793066399e-20
2.594318975996074209e-02 2.200715782050272610e-20
2.644664695337727023e-02 2.231989730362834130e-20
2.695987430797860268e-02 2.265125886813112101e-20
2.748306142488838102e-02 2.300263927025403292e-20
2.801640158465635438e-02 2.337556705610042044e-20
2.856009181866182509e-02 2.377171735188127581e-20
2.911433298190278796e-02 2.419292849627202323e-20
2.967932982719762025e-02 2.464122074104291094e-20
3.025529108082670657e-02 2.511881726404372157e-20
3.084242951964203186e-02 2.562816775199460070e-20
3.144096204967312264e-02 2.617197481529550658e-20
3.205110978625849011e-02 2.675322348696352143e-20
3.267309813573194416e-02 2.737521402333348839e-20
3.330715687869444802e-02 2.804159815099207605e-20
3.395352025490161463e-02 2.875641877110950741e-20
3.461242704979874962e-02 2.952415290696582699e-20
3.528412068273512753e-02 3.034975731571896794e-20
3.596884929689019017e-02 3.123871561155814226e-20
3.666686585094486306e-02 3.219708486198827992e-20
3.737842821253185149e-02 3.323153827303395467e-20
3.810379925349943742e-02 3.434939855748902418e-20
3.884324694702401964e-02 3.555865357661885867e-20
3.959704446660718136e-02 3.686794143207883879e-20
4.036547028699394996e-02 3.828648578133645582e-20
4.114880828704949728e-02 3.982395300770417129e-20
4.194734785463211102e-02 4.149019010762563063e-20
4.276138399350170455e-02 4.329478488631298209e-20
4.359121743230269519e-02 4.524636782389294750e-20
4.443715473566187124e-02 4.735154869003159825e-20
4.529950841744236067e-02 4.961335478144909995e-20
4.617859705619532795e-02 5.202902227674736460e-20
4.707474541285214253e-02 5.458701023859070709e-20
4.798828455070054677e-02 5.726319894266676366e-20
4.891955195768904474e-02 6.001646197914102641e-20
4.986889167110481608e-02 6.278423395857489309e-20
5.083665440467105556e-02 6.547935700979598262e-20
5.182319767811085359e-02 6.799024658528221282e-20
5.282888594922545422e-02 7.018683492964018652e-20
5.385409074853533123e-02 7.193407631008486073e-20
5.489919081653474309e-02 7.311237604684391223e-20
5.596457224360921329e-02 7.364050684831049867e-20
5.705062861266868568e-02 7.349348312542261084e-20
5.815776114454845880e-02 7.270827766733988985e-20
5.928637884623184917e-02 7.137499525668047436e-20
6.043689866194929677e-02 6.961740676519430092e-20
6.160974562720967357e-02 6.757042532092838492e-20
6.280535302582078427e-02 6.536138675291544252e-20
6.402416254995701994e-02 6.309850819395421728e-20
6.526662446333329759e-02 6.086641758484379703e-20
6.653319776754559878e-02 5.872674991495106588e-20
6.782435037163947467e-02 5.672148572115549336e-20
6.914055926496942561e-02 5.487723698897086923e-20
7.048231069341223676e-02 5.320940706062506591e-20
7.185010033900093851e-02 5.172573236936796507e-20
7.324443350304374323e-02 5.042907715912995113e-20
7.466582529279726377e-02 4.931953712538837137e-20
7.611480081176201506e-02 4.839597925832799489e-20
7.759189535367103097e-02 4.765715631119717844e-20
7.909765460024283101e-02 4.710251913438161154e-20
8.063263482277227556e-02 4.673282694957966360e-20
8.219740308763323622e-02 4.655063296728742558e-20
8.379253746576952044e-02 4.656070358388782859e-20
8.541862724625105818e-02 4.677041395710191291e-20
8.707627315397442613e-02 4.719014985355647308e-20
8.876608757158827023e-02 4.783373313766524425e-20
9.048869476572478365e-02 4.871887284680873682e-20
9.224473111762268585e-02 4.986762030932127131e-20
9.403484535822448365e-02 5.130676669452925902e-20
9.585969880783669350e-02 5.306805044340614032e-20
9.771996562044085732e-02 5.518791655020705482e-20
9.961633303274554374e-02 5.770635244417771084e-20
1.015495016180717330e-01 6.066396433294868988e-20
1.035201855451649555e-01 6.409590118268711740e-20
1.055291128420295654e-01 6.802049463793272732e-20
1.075770256648846818e-01 7.241983988249107420e-20
1.096646805723365536e-01 7.720998909636096102e-20
1.117928488048752500e-01 8.220234069771759659e-20
1.139623165697913887e-01 8.706877343726672992e-20
1.161738853316259673e-01 9.134148068064560283e-20
1.184283721082527302e-01 9.448967618905540831e-20
1.207266097727103249e-01 9.608475528626578349e-20
1.230694473608878181e-01 9.598164346306895570e-20
1.254577503851853348e-01 9.438792579862309839e-20
1.278924011542574846e-01 9.176594179500577227e-20
1.303742990989658623e-01 8.865106189625090342e-20
1.329043611046532847e-01 8.550778485035635923e-20
1.354835218498685601e-01 8.267294522217568329e-20
1.381127341516648621e-01 8.036423148077221101e-20
1.407929693175961894e-01 7.871521496803203451e-20
1.435252175045488021e-01 7.781196506629193701e-20
1.463104880845317035e-01 7.772207461323255531e-20
1.491498100175704944e-01 7.851530204704019731e-20
1.520442322318327211e-01 8.027749666514679645e-20
1.549948240111347353e-01 8.311876095251031874e-20
1.580026753899641256e-01 8.717404264137309433e-20
1.610688975561723468e-01 9.258888235782791844e-20
1.641946232614775458e-01 9.947293347516949009e-20
1.673810072399385396e-01 1.077885501120421769e-19
1.706292266345447728e-01 1.171343482192414092e-19
1.739404814320884562e-01 1.264444239537771010e-19
1.773159949064753160e-01 1.338651399713209492e-19
1.807570140706354911e-01 1.373611011783699450e-19
1.842648101372089120e-01 1.360763931753073430e-19
1.878406789881656436e-01 1.310673525701935721e-19
1.914859416535451553e-01 1.244322594531316115e-19
1.952019447994804147e-01 1.180263435044462794e-19
1.989900612256984558e-01 1.129755235586550690e-19
2.028516903726695908e-01 1.098346019602219208e-19
2.067882588386045217e-01 1.088802383980950903e-19
2.108012209064780984e-01 1.103236256829283309e-19
2.148920590812869735e-01 1.144264376575296737e-19
2.190622846377272837e-01 1.215333863587600199e-19
2.233134381785046585e-01 1.319793785176082053e-19
2.276470902034791188e-01 1.457078308888315542e-19
2.320648416898502819e-01 1.613184355513221878e-19
2.365683246836086384e-01 1.747697766453673256e-19
2.411592029024569594e-01 1.802162961318619479e-19
2.458391723504400328e-01 1.753377909916740030e-19
2.506099619444939752e-01 1.642596974775890694e-19
2.554733341531623680e-01 1.527833905980236563e-19
2.604310856476995117e-01 1.443602521749650410e-19
2.654850479658171780e-01 1.403376151011474373e-19
2.706370881883035651e-01 1.412660153299088696e-19
2.758891096287818812e-01 1.476807124717804703e-19
2.812430525368457834e-01 1.603022053728577380e-19
2.867008948148457304e-01 1.794555213330099151e-19
2.922646527485854295e-01 2.026913938839088170e-19
2.979363817521925029e-01 2.206879698138507273e-19
3.037181771274527486e-01 2.211799265996748051e-19
3.096121748378712901e-01 2.058135079099138344e-19
3.156205522977640898e-01 1.876489633028065303e-19
3.217455291766534442e-01 1.752358548545474022e-19
3.279893682192834281e-01 1.712859833017411230e-19
3.343543760815387289e-01 1.767785492422602299e-19
3.408429041825954964e-01 1.929014873057727201e-19
3.474573495735988615e-01 2.201991010778141235e-19
3.542001558232087399e-01 2.522563062752109228e-19
3.610738139203203412e-01 2.669995835698223951e-19
3.680808631943102704e-01 2.507423542932516420e-19
3.752238922531406229e-01 2.241365421767455374e-19
3.825055399396611322e-01 2.064270419779433747e-19
3.899284963064805765e-01 2.030425333191999321e-19
3.974955036097441718e-01 2.156845634082328718e-19
4.052093573222093070e-01 2.461768493075215885e-19
4.130729071659680063e-01 2.889956899771765458e-19
4.210890581652239062e-01 3.106204627715137073e-19
4.292607717194858452e-01 2.856746405248396353e-19
4.375910666976020047e-01 2.510369335834818542e-19
4.460830205530110226e-01 2.342645018978082131e-19
4.547397704606498947e-01 2.408673307094599861e-19
4.635645144759104053e-01 2.736344922416426895e-19
4.725605127161014440e-01 3.277689029973220639e-19
4.817310885648244945e-01 3.536915005401776112e-19
4.910796298997311959e-01 3.154521950303767090e-19
5.006095903441069028e-01 2.752781297596515717e-19
5.103244905427325451e-01 2.656127552228610385e-19
5.202279194625217817e-01 2.917808884305982837e-19
5.303235357183813115e-01 3.540409329328700003e-19
5.406150689248176988e-01 3.983362068919662954e-19
5.511063210737581208e-01 3.533553826743031780e-19
5.618011679391242685e-01 3.046042223914507059e-19
5.727035605086481240e-01 2.998969817424794779e-19
5.838175264434902756e-01 3.462700791596712756e-19
5.951471715661664774e-01 4.275272456426661453e-19
6.066966813773668754e-01 4.200686335132026631e-19
6.184703226021940337e-01 3.491999376091308656e-19
6.304724447664180609e-01 3.281105488902159980e-19
6.427074818033231551e-01 3.743840632985197202e-19
6.551799536917211064e-01 4.708037910983378764e-19
6.678944681257750204e-01 4.528818608572521969e-19
6.808557222172039181e-01 3.725303008163536713e-19
6.940685042305438923e-01 3.661090950840781532e-19
7.075376953520609025e-01 4.492071749049595831e-19
